,round,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
249,50,0.0007550940473032036,0.012245521548760243,9.758636927324735,0.027478974640681254,1.5944753000003402,ok,fill_mean,Fill with column mean
250,51,0.0007457940586962399,0.011364619086592066,7.912518089645514,0.027309230283847984,1.721599199998309,ok,fill_mean,Fill with column mean
251,52,0.0008041595204970812,0.013175992274206318,10.821376782305725,0.02835770654508367,1.71301940000194,ok,fill_mean,Fill with column mean
252,53,0.0009555584569413622,0.016201780878710218,9.281276820208227,0.030912108581288372,1.5565403000000515,ok,fill_mean,Fill with column mean
253,54,0.0006915929387353945,0.01042230612149412,8.445017382954351,0.02629815466407091,1.876024299999699,ok,fill_mean,Fill with column mean
254,55,0.0009596030459556794,0.016209377263034307,8.87328889655669,0.030977460288985594,1.8626053000007232,ok,fill_mean,Fill with column mean
255,56,0.0007124624155850921,0.011382436647562158,10.780619983197573,0.026691991600198965,1.8189686999976402,ok,fill_mean,Fill with column mean
256,57,0.0009314012641139135,0.01550095252744854,7.08190422141306,0.03051886734651064,1.7430165000005218,ok,fill_mean,Fill with column mean
257,58,0.0008934157624948248,0.014638314999848745,7.925560526147627,0.029890061266160443,2.0020139000007475,ok,fill_mean,Fill with column mean
258,59,0.0009712045529796734,0.015581745204336682,7.730794346229642,0.031164154937679177,2.1783505999992485,ok,fill_mean,Fill with column mean
259,60,0.0009718951761638278,0.016275927887038584,7.904347692639897,0.03117523337785666,2.1261277999983577,ok,fill_mean,Fill with column mean
260,61,0.0012413537553362729,0.02138314341139144,8.865637600886506,0.03523285051392057,1.8042088000001968,ok,fill_mean,Fill with column mean
261,62,0.000841529639915094,0.01351124754652476,7.636568923528672,0.029009130285396253,1.6062773000012385,ok,fill_mean,Fill with column mean
262,63,0.0008934965707483417,0.014705366143700917,8.214745565464545,0.02989141299350604,1.590965999999753,ok,fill_mean,Fill with column mean
263,64,0.0006708178767320714,0.00988056370598744,7.775412461769219,0.025900152060018323,2.0711942999987514,ok,fill_mean,Fill with column mean
264,65,0.0008587810810598218,0.014288730844936343,7.472331795526786,0.029304966832600608,1.7822793999985151,ok,fill_mean,Fill with column mean
265,66,0.0008053335414278425,0.012654042317193767,5.576621844128963,0.028378399204814962,1.611420299999736,ok,fill_mean,Fill with column mean
266,67,0.0007926166661283365,0.011634214911797721,7.117606169625569,0.028153448565465946,1.8076443999998446,ok,fill_mean,Fill with column mean
267,68,0.0010578978735412657,0.018025420373531123,7.580722502804093,0.032525342020358,1.6290164999991248,ok,fill_mean,Fill with column mean
268,69,0.0008304833382804122,0.013455381965880264,8.896250080495724,0.028818107819223875,1.760689700000512,ok,fill_mean,Fill with column mean
269,70,0.0009252544296913934,0.01583815691482915,7.143369724704445,0.03041799516226198,1.5348482999979751,ok,fill_mean,Fill with column mean
270,71,0.0008840539291650746,0.013997442381572212,7.8247706694995,0.02973304439785934,1.9822592999989865,ok,fill_mean,Fill with column mean
271,72,0.0009590284076517298,0.01687447095524148,7.130396678194549,0.030968183796466493,1.7417520999988483,ok,fill_mean,Fill with column mean
272,73,0.0008332992138222613,0.012741186536880977,6.5781965500968544,0.02886692248616505,1.8008136999997078,ok,fill_mean,Fill with column mean
273,74,0.0010823077091078348,0.018356407621677746,8.393095559736487,0.032898445390441095,1.6393602999996801,ok,fill_mean,Fill with column mean
274,75,0.0007543094240584449,0.011232955279350743,8.273023457644229,0.027464694137354688,1.493598799999745,ok,fill_mean,Fill with column mean
275,76,0.001473771508283467,0.026696486259070413,12.629258907898928,0.03838973180791274,1.8783704999987094,ok,fill_mean,Fill with column mean
276,77,0.0009314579605176008,0.014676709298353238,9.581015677365366,0.03051979620701293,1.8053084000021045,ok,fill_mean,Fill with column mean
277,78,0.001037861469074713,0.017901454623068188,9.11888144292921,0.03221585741641394,1.5288209000027564,ok,fill_mean,Fill with column mean
278,79,0.0008572140640431441,0.01310883670130534,6.800372986956687,0.029278218252536202,1.8592143999994732,ok,fill_mean,Fill with column mean
279,80,0.0008306428120754645,0.013231587727806443,8.413528199211578,0.028820874589010385,1.6324386999986018,ok,fill_mean,Fill with column mean
280,81,0.0009680261767483812,0.015062685744810907,8.225425392890308,0.03111311904564345,1.536517399999866,ok,fill_mean,Fill with column mean
281,82,0.0009513970618340782,0.01542314139762466,8.799171141769472,0.03084472502445237,1.957338800002617,ok,fill_mean,Fill with column mean
282,83,0.000979152255983037,0.0159177905877431,7.009674370281909,0.03129140866089344,1.8131653999989794,ok,fill_mean,Fill with column mean
283,84,0.0009497518760662626,0.015291202473135777,8.434842003604718,0.030818044650273685,1.5769828999982565,ok,fill_mean,Fill with column mean
284,85,0.0010246488136029385,0.01585229709830233,8.757660404702865,0.03201013610722295,1.631869300003018,ok,fill_mean,Fill with column mean
285,86,0.0009231146895122098,0.015083456940121401,7.0721899784417355,0.03038280252893419,1.546968200000265,ok,fill_mean,Fill with column mean
286,87,0.0011938238417328387,0.020727388452955922,9.251530764896387,0.03455175598624242,1.8382246000001032,ok,fill_mean,Fill with column mean
287,88,0.0009064538736591363,0.014484677070311175,7.627145887211491,0.03010737241373176,1.6968919999999343,ok,fill_mean,Fill with column mean
288,89,0.0009719271245527834,0.016312888691520862,8.616320798352533,0.031175745773802804,1.6805729999978212,ok,fill_mean,Fill with column mean
289,90,0.0008794646453098836,0.014190496962707314,8.713112474941349,0.02965576917414019,1.5147862000012537,ok,fill_mean,Fill with column mean
290,91,0.0010943312359132248,0.018626689152801856,8.854396845663876,0.03308067768219425,1.5772341999982018,ok,fill_mean,Fill with column mean
291,92,0.0011093851610492447,0.019061837547001928,8.286437127233677,0.033307434020789485,1.619404900000518,ok,fill_mean,Fill with column mean
292,93,0.001222668399602645,0.020640888607103555,8.400604441477734,0.03496667555834619,1.5504440999975486,ok,fill_mean,Fill with column mean
