,round,model_id,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
328,55,user_4,0.000797288787036727,0.008693034991088205,2.5838075828663962,0.028236302644587288,9.948670400000083,ok,ffill,Forward fill
334,56,user_4,0.0008535352828087009,0.009472230353279031,2.4587186040327365,0.029215326162969683,10.030959799999437,ok,ffill,Forward fill
340,57,user_4,0.0007923387695838194,0.00790286842216598,2.326627250882271,0.02814851274195174,9.893426100000397,ok,ffill,Forward fill
346,58,user_4,0.0008761776816440589,0.010379530744651234,2.6818766331317714,0.029600298674913043,10.471302799999648,ok,ffill,Forward fill
352,59,user_4,0.0008228989862386801,0.010269178483909252,3.1261452989793117,0.028686215962351675,10.548225300000013,ok,ffill,Forward fill
358,60,user_4,0.0008526393413603673,0.01070283569430242,3.25294860352435,0.029199988721921918,10.43303830000059,ok,ffill,Forward fill
364,61,user_4,0.0007708825037738303,0.01206330293420829,4.913371535517168,0.027764770911603617,10.363529900000685,ok,ffill,Forward fill
370,62,user_4,0.0008793417126932221,0.010757357691224377,2.9502334518819535,0.02965369644231933,10.41616840000006,ok,ffill,Forward fill
376,63,user_4,0.0008969254411963407,0.010956577605364932,2.872418032946209,0.029948713514879745,10.387141000000156,ok,ffill,Forward fill
382,64,user_4,0.0008181187549322483,0.010992394227524493,3.783235874832849,0.028602775301222925,9.9322659999998,ok,ffill,Forward fill
388,65,user_4,0.0008354622557098301,0.009936043730573094,2.9619787193978837,0.02890436395615427,10.465455399999883,ok,ffill,Forward fill
394,66,user_4,0.0008343805018735249,0.009465754538611267,2.525575857331253,0.02888564525631243,10.38816820000011,ok,ffill,Forward fill
400,67,user_4,0.0008459450969085414,0.011103447011078856,3.5327343866480883,0.02908513532560131,9.944982099999834,ok,ffill,Forward fill
406,68,user_4,0.0007799398200749983,0.007842936975745668,2.343240235248464,0.027927402673270537,10.093030400000316,ok,ffill,Forward fill
412,69,user_4,0.0007781554134283816,0.010818635720015332,4.120784567675652,0.027895437143525492,9.867660500000056,ok,ffill,Forward fill
418,70,user_4,0.0007510133114510841,0.008372186155673507,2.868210677810633,0.02740462208188765,10.175748200000271,ok,ffill,Forward fill
